id,label,concept
http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,FREIGHTER|eh_tmc:100348,http://github.com/RGZM/amt-caa2018#Concept
http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,TRANSPORT VESSEL|eh_tmc:100480,http://github.com/RGZM/amt-caa2018#Concept
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,MARITIME CRAFT|eh_tmc:100394,http://github.com/RGZM/amt-caa2018#Concept
http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,CARGO VESSEL|eh_tmc:100295,http://github.com/RGZM/amt-caa2018#Concept
http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,transport Vessel,http://github.com/RGZM/amt-caa2018#Keyword
http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,NeumagenMonument1,http://github.com/RGZM/amt-caa2018#Object
