from,to,role,width
http://github.com/RGZM/amt-caa2018#aTmSgIxpjOro,http://github.com/RGZM/amt-caa2018#bzyAcTcAcLpT,http://github.com/RGZM/amt-caa2018#hasDepiction,0.99
http://github.com/RGZM/amt-caa2018#aTmSgIxpjOro,http://github.com/RGZM/amt-caa2018#mHlapdFmMgmb,http://github.com/RGZM/amt-caa2018#hasDepiction,0.01
